GEO_ID,NAME,P002001,P002001ERR,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002013,P002014,P002015,P002016,P002017,P002018,P002019,P002020,P002021,P002022,P002023,P002024,P002025,P002026,P002027,P002028,P002029,P002030,P002031,P002032,P002033,P002034,P002035,P002036,P002037,P002038,P002039,P002040,P002041,P002042,P002043,P002044,P002045,P002046,P002047,P002048,P002049,P002050,P002051,P002052,P002053,P002054,P002055,P002056,P002057,P002058,P002059,P002060,P002061,P002062,P002063,P002064,P002065,P002066,P002067,P002068,P002069,P002070,P002071,P002072,P002073
1400000US17031750500,"Census Tract 7505, Cook County, Illinois",5936,null,157,5779,5692,1096,4569,4,18,0,5,87,82,55,2,7,0,2,9,4,1,1,0,0,0,0,1,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031750600,"Census Tract 7506, Cook County, Illinois",3681,null,54,3627,3595,13,3565,2,3,8,4,32,29,4,0,1,0,0,16,3,0,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031760801,"Census Tract 7608.01, Cook County, Illinois",4047,null,380,3667,3587,2731,225,2,608,2,19,80,77,9,4,47,1,3,1,1,0,0,0,0,0,1,9,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031760802,"Census Tract 7608.02, Cook County, Illinois",2276,null,133,2143,2130,2072,5,0,53,0,0,13,13,2,3,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031760803,"Census Tract 7608.03, Cook County, Illinois",6236,null,680,5556,5459,4900,159,13,382,0,5,97,92,12,3,48,8,7,0,3,0,6,0,0,0,2,3,0,5,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770201,"Census Tract 7702.01, Cook County, Illinois",5894,null,683,5211,5130,4258,147,3,720,0,2,81,78,16,3,29,1,3,1,5,1,0,2,0,0,1,16,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770202,"Census Tract 7702.02, Cook County, Illinois",4912,null,380,4532,4469,4186,50,6,225,2,0,63,60,7,9,28,1,5,5,0,0,0,1,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770300,"Census Tract 7703, Cook County, Illinois",7313,null,789,6524,6427,5914,78,16,404,0,15,97,89,11,6,50,0,1,0,2,0,0,2,0,0,3,14,0,8,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770400,"Census Tract 7704, Cook County, Illinois",4505,null,840,3665,3572,3006,94,7,458,1,6,93,84,20,1,35,4,1,0,3,0,0,13,0,0,0,7,0,9,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770500,"Census Tract 7705, Cook County, Illinois",4078,null,2920,1158,1111,1032,50,8,16,1,4,47,46,14,15,16,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770601,"Census Tract 7706.01, Cook County, Illinois",3232,null,412,2820,2777,2475,28,7,264,0,3,43,42,17,7,7,0,4,0,0,0,1,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770602,"Census Tract 7706.02, Cook County, Illinois",4956,null,2301,2655,2617,2121,54,9,431,0,2,38,33,10,4,10,2,4,0,1,0,0,2,0,0,0,0,0,5,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031770700,"Census Tract 7707, Cook County, Illinois",2681,null,513,2168,2119,2021,24,6,66,0,2,49,48,6,2,34,0,1,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
