"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA","P2_005N","P2_005NA","P2_006N","P2_006NA","P2_007N","P2_007NA","P2_008N","P2_008NA","P2_009N","P2_009NA","P2_010N","P2_010NA","P2_011N","P2_011NA","P2_012N","P2_012NA","P2_013N","P2_013NA","P2_014N","P2_014NA","P2_015N","P2_015NA","P2_016N","P2_016NA","P2_017N","P2_017NA","P2_018N","P2_018NA","P2_019N","P2_019NA","P2_020N","P2_020NA","P2_021N","P2_021NA","P2_022N","P2_022NA","P2_023N","P2_023NA","P2_024N","P2_024NA","P2_025N","P2_025NA","P2_026N","P2_026NA","P2_027N","P2_027NA","P2_028N","P2_028NA","P2_029N","P2_029NA","P2_030N","P2_030NA","P2_031N","P2_031NA","P2_032N","P2_032NA","P2_033N","P2_033NA","P2_034N","P2_034NA","P2_035N","P2_035NA","P2_036N","P2_036NA","P2_037N","P2_037NA","P2_038N","P2_038NA","P2_039N","P2_039NA","P2_040N","P2_040NA","P2_041N","P2_041NA","P2_042N","P2_042NA","P2_043N","P2_043NA","P2_044N","P2_044NA","P2_045N","P2_045NA","P2_046N","P2_046NA","P2_047N","P2_047NA","P2_048N","P2_048NA","P2_049N","P2_049NA","P2_050N","P2_050NA","P2_051N","P2_051NA","P2_052N","P2_052NA","P2_053N","P2_053NA","P2_054N","P2_054NA","P2_055N","P2_055NA","P2_056N","P2_056NA","P2_057N","P2_057NA","P2_058N","P2_058NA","P2_059N","P2_059NA","P2_060N","P2_060NA","P2_061N","P2_061NA","P2_062N","P2_062NA","P2_063N","P2_063NA","P2_064N","P2_064NA","P2_065N","P2_065NA","P2_066N","P2_066NA","P2_067N","P2_067NA","P2_068N","P2_068NA","P2_069N","P2_069NA","P2_070N","P2_070NA","P2_071N","P2_071NA","P2_072N","P2_072NA","P2_073N","P2_073NA",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","960","null","550","null","410","null","381","null","279","null","81","null","0","null","16","null","0","null","5","null","29","null","25","null","8","null","8","null","3","null","0","null","3","null","0","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","4","null","2","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","1089","null","723","null","366","null","329","null","243","null","63","null","3","null","15","null","0","null","5","null","37","null","31","null","4","null","7","null","3","null","0","null","13","null","0","null","1","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","4","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","1504","null","655","null","849","null","799","null","557","null","202","null","0","null","39","null","1","null","0","null","50","null","42","null","11","null","4","null","22","null","0","null","3","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","8","null","6","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","1834","null","1123","null","711","null","662","null","451","null","152","null","0","null","54","null","0","null","5","null","49","null","39","null","8","null","9","null","8","null","0","null","11","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","9","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","956","null","716","null","240","null","226","null","124","null","78","null","2","null","19","null","1","null","2","null","14","null","8","null","0","null","0","null","2","null","2","null","2","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","4","null","0","null","0","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","2235","null","1798","null","437","null","391","null","258","null","101","null","1","null","27","null","0","null","4","null","46","null","43","null","7","null","4","null","8","null","0","null","14","null","2","null","2","null","3","null","0","null","0","null","0","null","0","null","2","null","1","null","0","null","3","null","2","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","3419","null","2946","null","473","null","456","null","105","null","308","null","0","null","23","null","5","null","15","null","17","null","13","null","2","null","3","null","0","null","0","null","0","null","1","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","4","null","2","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","6817","null","4795","null","2022","null","1968","null","230","null","1707","null","7","null","15","null","0","null","9","null","54","null","52","null","18","null","14","null","4","null","3","null","5","null","1","null","0","null","0","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","6218","null","5038","null","1180","null","1106","null","447","null","550","null","4","null","78","null","0","null","27","null","74","null","74","null","22","null","4","null","12","null","4","null","18","null","2","null","6","null","0","null","4","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","1234","null","938","null","296","null","262","null","147","null","85","null","0","null","20","null","0","null","10","null","34","null","33","null","8","null","1","null","2","null","3","null","5","null","3","null","0","null","0","null","10","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","5044","null","2998","null","2046","null","1928","null","1188","null","641","null","5","null","63","null","0","null","31","null","118","null","115","null","26","null","11","null","29","null","0","null","21","null","11","null","8","null","0","null","3","null","1","null","0","null","0","null","3","null","2","null","0","null","3","null","1","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","1214","null","552","null","662","null","643","null","55","null","578","null","1","null","2","null","0","null","7","null","19","null","17","null","7","null","1","null","0","null","0","null","3","null","4","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","5983","null","2947","null","3036","null","2963","null","143","null","2790","null","2","null","7","null","0","null","21","null","73","null","66","null","35","null","9","null","0","null","0","null","2","null","14","null","2","null","1","null","2","null","0","null","0","null","0","null","1","null","0","null","0","null","7","null","1","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","5655","null","1398","null","4257","null","4171","null","122","null","4019","null","5","null","13","null","0","null","12","null","86","null","80","null","48","null","4","null","5","null","1","null","2","null","15","null","0","null","1","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","2","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","1556","null","210","null","1346","null","1279","null","1089","null","57","null","0","null","131","null","0","null","2","null","67","null","59","null","2","null","3","null","32","null","0","null","20","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","8","null","2","null","2","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","1362","null","150","null","1212","null","1149","null","1047","null","15","null","0","null","84","null","0","null","3","null","63","null","61","null","1","null","2","null","41","null","0","null","15","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","2610","null","241","null","2369","null","2267","null","1999","null","51","null","1","null","211","null","0","null","5","null","102","null","96","null","17","null","5","null","47","null","0","null","25","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","6","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","1489","null","423","null","1066","null","1019","null","880","null","47","null","1","null","86","null","0","null","5","null","47","null","41","null","2","null","1","null","28","null","0","null","9","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","6","null","2","null","0","null","1","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","1499","null","636","null","863","null","816","null","545","null","191","null","4","null","68","null","2","null","6","null","47","null","38","null","7","null","2","null","22","null","0","null","3","null","1","null","0","null","1","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","8","null","3","null","0","null","0","null","1","null","0","null","0","null","0","null","3","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
